,Customer ID,R Rank,F Rank,M Rank,R,F,M,RFM_SCORE,Segment
0,5524,42.0,23.0,902.0,3,4,4,11,Loyal Customer
1,2174,62.0,5.0,22.0,2,1,1,4,New Customer
2,4141,74.0,21.0,500.0,2,4,3,9,Loyal Customer
3,6182,74.0,7.0,48.0,2,1,1,4,New Customer
4,5324,6.0,15.0,319.0,4,3,3,10,Loyal Customer
5,7446,84.0,21.0,469.0,1,4,3,8,Loyal Customer
6,965,66.0,18.0,409.0,2,3,3,8,Loyal Customer
7,6177,68.0,9.0,150.0,2,2,2,6,Potential Loyalists Customer
8,4855,81.0,6.0,41.0,1,1,1,3,Potential Lost Customer
9,5899,32.0,2.0,44.0,3,1,1,5,New Customer
11,387,41.0,6.0,56.0,3,1,1,5,New Customer
12,2125,18.0,16.0,677.0,4,3,4,11,Loyal Customer
13,8180,47.0,13.0,249.0,3,2,2,7,Potential Loyalists Customer
14,2569,62.0,5.0,41.0,2,1,1,4,New Customer
15,2114,77.0,26.0,785.0,1,4,4,9,Loyal Customer
16,9736,49.0,7.0,91.0,3,1,2,6,Potential Loyalists Customer
17,4939,80.0,12.0,255.0,1,2,2,5,New Customer
18,6565,9.0,25.0,956.0,4,4,4,12,Loyal Customer
19,2278,14.0,7.0,121.0,4,1,2,7,Potential Loyalists Customer
20,9360,59.0,12.0,254.0,2,2,2,6,Potential Loyalists Customer
21,5376,58.0,29.0,941.0,2,4,4,10,Loyal Customer
22,1993,37.0,15.0,603.0,3,3,3,9,Loyal Customer
23,4047,100.0,18.0,387.0,1,3,3,7,Potential Loyalists Customer
24,1409,31.0,14.0,334.0,3,3,3,9,Loyal Customer
25,7892,11.0,7.0,70.0,4,1,2,7,Potential Loyalists Customer
26,2404,96.0,11.0,210.0,1,2,2,5,New Customer
28,9422,74.0,8.0,119.0,2,2,2,6,Potential Loyalists Customer
29,1966,4.0,26.0,919.0,4,4,4,12,Loyal Customer
