,ID,Year_Birth,Age,Generation,Education,Income,Dt_Customer,IncomeCategory,FamilyQty,Recency,Wine,Fruit,Meat,Fish,Sweet,Gold,Total_Amount,Deals_Purchase,Web_Purchase,Catalog_Purchase,Store_Purchase,Web_Visit,Freq_Purchase,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Latest_Cmp,Total_AccCmp
0,5524,1957,57,Baby Boomer,Graduation,58138.0,2012-09-04,Middle,1,58,635,88,546,172,88,88,1617,3,8,10,4,7,22,0,0,0,0,0,0,1,1
1,2174,1954,60,Baby Boomer,Graduation,46344.0,2014-03-08,Middle,3,38,11,1,6,2,1,6,27,2,1,1,2,5,4,0,0,0,0,0,0,0,0
2,4141,1965,49,Gen X,Graduation,71613.0,2013-08-21,High,2,26,426,49,127,111,21,42,776,1,8,2,10,4,20,0,0,0,0,0,0,0,0
3,6182,1984,30,Millennials,Graduation,26646.0,2014-02-10,Low,3,26,11,4,20,10,3,5,53,2,2,0,4,6,6,0,0,0,0,0,0,0,0
4,5324,1981,33,Millennials,PhD,58293.0,2014-01-19,Middle,3,94,173,43,118,46,27,15,422,5,5,3,6,5,14,0,0,0,0,0,0,0,0
5,7446,1967,47,Gen X,Master,62513.0,2013-09-09,High,3,16,520,42,98,0,42,14,716,2,6,4,10,6,20,0,0,0,0,0,0,0,0
6,965,1971,43,Gen X,Graduation,55635.0,2012-11-13,Middle,2,34,235,65,164,50,49,27,590,4,7,3,7,6,17,0,0,0,0,0,0,0,0
7,6177,1985,29,Millennials,PhD,33454.0,2013-05-08,Middle,3,32,76,10,56,3,1,23,169,2,4,0,4,8,8,0,0,0,0,0,0,0,0
8,4855,1974,40,Gen X,PhD,30351.0,2013-06-06,Middle,3,19,14,0,24,3,3,2,46,1,3,0,2,9,5,0,0,0,0,0,0,1,1
9,5899,1950,64,Baby Boomer,PhD,5648.0,2014-03-13,Low,4,68,28,0,6,1,1,13,49,1,1,0,0,20,1,1,0,0,0,0,0,0,1
11,387,1976,38,Gen X,Basic,7500.0,2012-11-13,Low,2,59,6,16,11,11,1,16,61,1,2,0,3,8,5,0,0,0,0,0,0,0,0
12,2125,1959,55,Baby Boomer,Graduation,63033.0,2013-11-15,High,1,82,194,61,480,225,112,30,1102,1,3,4,8,2,15,0,0,0,0,0,0,0,0
13,8180,1952,62,Baby Boomer,Master,59354.0,2013-11-15,Middle,3,53,233,2,53,3,5,14,310,3,6,1,5,6,12,0,0,0,0,0,0,0,0
14,2569,1987,27,Millennials,Graduation,17323.0,2012-10-10,Low,2,38,3,14,17,6,1,5,46,1,1,0,3,8,4,0,0,0,0,0,0,0,0
15,2114,1946,68,Baby Boomer,PhD,82800.0,2012-11-24,High,1,23,1006,22,115,59,68,45,1315,1,7,6,12,3,25,0,0,1,1,0,0,1,3
16,9736,1980,34,Millennials,Graduation,41850.0,2012-12-24,Middle,4,51,53,5,19,2,13,4,96,3,3,0,3,8,6,0,0,0,0,0,0,0,0
17,4939,1946,68,Baby Boomer,Graduation,37760.0,2012-08-31,Middle,2,20,84,5,38,150,12,28,317,2,4,1,6,7,11,0,0,0,0,0,0,0,0
18,6565,1949,65,Baby Boomer,Master,76995.0,2013-03-28,High,3,91,1012,80,498,0,16,176,1782,2,11,4,9,5,24,0,0,0,1,0,0,0,1
19,2278,1985,29,Millennials,Master,33812.0,2012-11-03,Middle,2,86,4,17,19,30,24,39,133,2,2,1,3,6,6,0,0,0,0,0,0,0,0
20,9360,1982,32,Millennials,Graduation,37040.0,2012-08-08,Middle,2,41,86,2,73,69,38,48,316,1,4,2,5,8,11,0,0,0,0,0,0,0,0
21,5376,1979,35,Gen X,Graduation,2447.0,2013-01-06,Low,3,42,1,1,1725,1,1,1,1730,15,0,28,0,1,28,0,0,0,0,0,0,0,0
22,1993,1949,65,Baby Boomer,PhD,58607.0,2012-12-23,Middle,3,63,867,0,86,0,0,19,972,3,2,3,9,8,14,0,1,0,0,0,0,0,1
23,4047,1954,60,Baby Boomer,PhD,65324.0,2014-01-11,High,3,0,384,0,102,21,32,5,544,3,6,2,9,4,17,0,0,0,0,0,0,0,0
24,1409,1951,63,Baby Boomer,Graduation,40689.0,2013-03-18,Middle,3,69,270,3,27,39,6,99,444,7,7,1,5,8,13,0,0,0,0,0,0,0,0
25,7892,1969,45,Gen X,Graduation,18589.0,2013-01-02,Low,1,89,6,4,25,15,12,13,75,2,2,1,3,7,6,0,0,0,0,0,0,0,0
26,2404,1976,38,Gen X,Graduation,53359.0,2013-05-27,Middle,4,4,173,4,30,3,6,41,257,4,5,1,4,7,10,0,0,0,0,0,0,0,0
28,9422,1989,25,Millennials,Graduation,38360.0,2013-05-31,Middle,3,26,36,2,42,20,21,10,131,2,2,1,4,3,7,0,0,0,0,0,0,0,0
29,1966,1965,49,Gen X,PhD,84618.0,2013-11-22,High,2,96,684,100,801,21,66,0,1672,1,6,9,10,2,25,0,0,1,0,0,0,0,1
30,6864,1989,25,Millennials,Master,10979.0,2014-05-22,Low,1,34,8,4,10,2,2,4,30,2,3,0,3,5,6,0,0,0,0,0,0,0,0
31,3033,1963,51,Baby Boomer,Master,38620.0,2013-05-11,Middle,2,56,112,17,44,34,22,89,318,1,2,5,3,3,10,0,0,0,0,0,0,0,0
32,5710,1970,44,Gen X,Graduation,40548.0,2012-10-10,Middle,3,31,110,0,5,2,0,3,120,2,2,1,4,5,7,0,1,0,0,0,0,0,1
33,7373,1952,62,Baby Boomer,PhD,46610.0,2012-10-29,Middle,3,8,96,12,96,33,22,43,302,6,4,1,6,6,11,0,0,0,0,0,0,1,1
34,8755,1946,68,Baby Boomer,Master,68657.0,2013-02-20,High,2,4,482,34,471,119,68,22,1196,1,3,5,9,7,17,0,0,0,0,0,0,0,0
35,10738,1951,63,Baby Boomer,Master,49389.0,2013-08-29,Middle,3,55,40,0,19,2,1,3,65,1,2,0,3,7,5,0,0,0,0,0,0,0,0
36,4339,1970,44,Gen X,PhD,67353.0,2013-12-31,High,3,37,702,17,151,0,8,35,913,5,5,6,12,2,23,0,0,0,0,0,0,0,0
37,10755,1976,38,Gen X,Master,23718.0,2013-09-02,Low,3,76,6,3,14,15,7,36,81,3,3,1,2,7,6,0,0,0,0,0,0,0,0
38,8595,1973,41,Gen X,Graduation,42429.0,2014-02-11,Middle,2,99,55,0,6,2,0,4,67,2,1,1,3,5,5,0,0,0,0,0,0,0,0
39,2968,1943,71,Silent Gen,PhD,48948.0,2013-02-01,Middle,1,53,437,8,206,160,49,42,902,2,7,10,5,6,22,1,0,0,0,0,0,1,2
40,8601,1980,34,Millennials,Graduation,80011.0,2013-04-29,High,3,3,421,76,536,82,178,102,1395,2,8,6,5,4,19,0,0,0,0,0,0,0,0
41,503,1985,29,Millennials,Master,20559.0,2013-03-12,Low,3,88,13,1,29,3,0,7,53,2,2,0,3,8,5,0,0,0,0,0,0,0,0
